name,headline,year,product,category,subject,publication,medium,format,link,description,location,company
Ridgeway's Burglar Alarm,"""Ridgeway's Burglar Alarm""",1879,,Broadsides Collection,Security,,,"advertisements', 'black-and-white drawings",https://idn.duke.edu/ark:/87924/r4k64cm2h,on green paper,,Burgler Alarm Mfg Co.
"Rough Leathers A Specialty.  Jas. W. Hewlett, Agt.  Commission Dealer In Hides, Leather And Oils","Rough Leathers A Specialty.  Jas. W. Hewlett, Agt.  Commission Dealer In Hides, Leather And Oils",1879,,Broadsides Collection,"Price List', 'Leather and Hides",,,advertisements,https://idn.duke.edu/ark:/87924/r4n29qw2c,"comparison of prices over range of years with Broadsides B0111, B0111a and B0111b.",,Jas. W. Hewlett
Sorgo Machinery,Sorgo Machinery,1879,Portable and Stationary Engines,Advertising Ephemera Collection,"Price List', 'Farm Machinery",,,"advertisements', 'engravings (prints)",https://idn.duke.edu/ark:/87924/r43f4nb86,,,Blymyer Manufacturing Co.
One Horse Wagon,One Horse Wagon,1870s,,Broadsides Collection,"Price List', 'Carriages and Wagons",,,"advertisements', 'black-and-white drawings",https://idn.duke.edu/ark:/87924/r4sx6614n,price list and Order Form,,Wm. M. Price & Co.
"Price List of Guns, Pistols","Price List of Guns, Pistols",1870s,,Broadsides Collection,"Price List', 'Firearms",,,advertisements,https://idn.duke.edu/ark:/87924/r46971q2g,,,Wm. M. Price & Co.
A Catalogue of Fruit Trees,A Catalogue of Fruit Trees,1880,,Broadsides Collection,"Price List', 'Plants and Seeds",,,advertisements,https://idn.duke.edu/ark:/87924/r4028r542,,,D. W. Kitchen
Barker's Comic Almanac,"""Barker's Comic Almanac""",1880,,Broadsides Collection,Books,,,"advertisements', 'black-and-white drawings",https://idn.duke.edu/ark:/87924/r4b85588b,pink paper,,"Barker, Moore & Mein (Wholesale Druggists)"
Elkins Manufacturing & Gas Co.,Elkins Manufacturing & Gas Co.,1880,Improved Maxim Gas Machine,Advertising Ephemera Collection,Heating and Fuel,,,advertisements,https://idn.duke.edu/ark:/87924/r4fx75n2m,,,Elkins Manufacturing & Gas Co.
"Messrs. Houghton, Mifflin And Company Invite the attention of the Legal Profession to the following highly important work, now ready: A Treatise On The Law of Mortgages of Personal Property.","Messrs. Houghton, Mifflin And Company Invite the attention of the Legal Profession to the following highly important work, now ready: A Treatise On The Law of Mortgages of Personal Property.",1880,,Broadsides Collection,Books,,,advertisements,https://idn.duke.edu/ark:/87924/r45d8q484,,,Houghton Mifflin Company
National Fair Association,National Fair Association,1880,,Broadsides Collection,"Price List', 'Entertainment",,,advertisements,https://idn.duke.edu/ark:/87924/r4513wk3x,scanned as two images,,National Fair Association
Optician of New York,Optician of New York,1880,,Broadsides Collection,Medical,,,"advertisements', 'black-and-white drawings",https://idn.duke.edu/ark:/87924/r41g0kk1b,,,Professor S. B. Nye
"Reduced Price List, 1880.","Reduced Price List, 1880.",1880,,Broadsides Collection,"Price List', 'Machinery and Tools",,,"advertisements', 'black-and-white drawings",https://idn.duke.edu/ark:/87924/r42r3qm9h,"2 pages- but divided into 10 panels within the two pages. City: Manufactory is in Ilion, but main office is in New York City",,Remington & Co.
Remington Agricultural Implements,Remington Agricultural Implements,1880,,Broadsides Collection,Machinery and Tools,,,"advertisements', 'black-and-white drawings",https://idn.duke.edu/ark:/87924/r4w952f4q,,,Remington Agricultural Co.
"S.E. Allen, Wholesale and Retail Dealer In Hardware","S.E. Allen, Wholesale and Retail Dealer In Hardware",1880,hardware,Advertising Ephemera Collection,Hardware,,,advertisements,https://idn.duke.edu/ark:/87924/r4125s249,,,S. E. Allen Hardware
"The ""Boss"" Cotton Press!","The ""Boss"" Cotton Press!",1880,,Broadsides Collection,Machinery and Tools,,,advertisements,https://idn.duke.edu/ark:/87924/r4b85585w,testimonials and list of people who have purchased machine.,,Talbott & Sons
To the Hot Springs of Arkansas,To the Hot Springs of Arkansas,1880,railway - travel,Advertising Ephemera Collection,"Resorts, Hotels, Travel",,,"advertisements', 'color drawings",https://idn.duke.edu/ark:/87924/r4sx6605p,note map attached to back page,,Iron Mountain & Southern Railway Co.
Use Fireproof Oil,Use Fireproof Oil,1880,,Broadsides Collection,Housewares,,,"advertisements', 'cartoons (humorous images)",https://idn.duke.edu/ark:/87924/r4p26rw5d,F-190,,Symons & Mell
Use Fireproof Oil,Use Fireproof Oil,1880,,Broadsides Collection,Housewares,,,"advertisements', 'color drawings",https://idn.duke.edu/ark:/87924/r48913g7x,F-189,,John M. Asendorf
Educational Notes,Educational Notes,circa 1880,"""Stickney's Language-Work Books""",Advertising Ephemera Collection,"Children', 'Education",,,"advertisements', 'black-and-white drawings",https://idn.duke.edu/ark:/87924/r4j962045,includes samples and testimonials.  selected images from pamphlet.,,"D. Appleton & Co., Publishers"
"Rejoice Ye!  Anemic, Weak and Debilitated Mortals.","Rejoice Ye!  Anemic, Weak and Debilitated Mortals.",circa 1880,Amazonian Restorative Chemical Compound,Advertising Ephemera Collection,Health and Patent Medicines,,,advertisements,https://idn.duke.edu/ark:/87924/r4668b80r,,,Specific Medicine Company
The Testimony of One Hundred Living Witnesses...The Deaf Hear through the Teeth,The Testimony of One Hundred Living Witnesses...The Deaf Hear through the Teeth,circa 1880,Hearing aids,Advertising Ephemera Collection,Health and Patent Medicines,,,"advertisements', 'black-and-white drawings",https://idn.duke.edu/ark:/87924/r4pv6cw87,selected pages from booklet.,,American Dentaphone Company
The Upper Mississippi: A Guide to the Famous Summer Resorts of Minnesota and Wisconsin,The Upper Mississippi: A Guide to the Famous Summer Resorts of Minnesota and Wisconsin,circa 1880,railway,Advertising Ephemera Collection,"Price List', 'Resorts, Hotels, Travel",,,"advertisements', 'black-and-white drawings",https://idn.duke.edu/ark:/87924/r4k06zq2k,,,Keokuk Northern Line Packet Co.
"The National Bank of Greensboro, N.C.","The National Bank of Greensboro, N.C.",circa 1880 to circa 1889,"National Bank of Greensboro, N.C.",Advertising Ephemera Collection,Banking and Financial,,,"advertisements', 'color drawings",https://idn.duke.edu/ark:/87924/r4vh5f75t,,,"National Bank of Greensboro, N.C."
"1881.  Nashville Exposition, April 27 To May 28.  Grand Military Display, Competitive Drills and Target Practice","1881.  Nashville Exposition, April 27 To May 28.  Grand Military Display, Competitive Drills and Target Practice",1881,,Broadsides Collection,"Military', 'Entertainment",,,"advertisements', 'black-and-white drawings",https://idn.duke.edu/ark:/87924/r4z31qf6k,Military exposition.  includes a list of prizes and rules and regulations.,,unknown
Bedford Alum & Iron Springs Company,Bedford Alum & Iron Springs Company,1881,,Broadsides Collection,Medical,,,"advertisements', 'black-and-white drawings",https://idn.duke.edu/ark:/87924/r4sf2p31j,,,Alum & Iron Springs Company
Circular Journal Of The Great Eastern Mutual Life Insurance Company.,Circular Journal Of The Great Eastern Mutual Life Insurance Company.,1881,,Broadsides Collection,"Price List', 'Insurance",,,advertisements,https://idn.duke.edu/ark:/87924/r48913f41,price list is one of different life insurance plans,,Great Eastern Mutual
"Conrad Becker, Importer and Maker of Harness Saddlery, Trunks and Satchels.","Conrad Becker, Importer and Maker of Harness Saddlery, Trunks and Satchels.",1881,"Harness Saddlery, Trunks and Satchels.",Advertising Ephemera Collection,"Price List', 'Carriages, Buggies, etc.",,,"advertisements', 'engravings (prints)",https://idn.duke.edu/ark:/87924/r45d8q446,several illustrations has the illustrator as F.G. Dieterich,,Conrad Becker
"Explanation of Flemming & Miller's Mutual Co-operative Fund for Speculating, Buying and Selling Grain and Provisions as operated in on the Chicago Board of Trade","""Explanation of Flemming & Miller's Mutual Co-operative Fund for Speculating, Buying and Selling Grain and Provisions as operated in on the Chicago Board of Trade""",1881,,Broadsides Collection,Commission Merchants,,,"advertisements', 'black-and-white drawings",https://idn.duke.edu/ark:/87924/r4jd4rc8k,,,"Flemming & Miller, Brokers"
Grand Opera House,Grand Opera House,1881,,Broadsides Collection,Entertainment,,,advertisements,https://idn.duke.edu/ark:/87924/r4ft8g767,interesting fringe decoration - made of shiny cloth,,Grand Opera House Grand Inaugural Performance
Kansas City Weekly Times,Kansas City Weekly Times,1881,,Broadsides Collection,"Price List', 'Magazines and Newspapers",,,"advertisements', 'black-and-white drawings",https://idn.duke.edu/ark:/87924/r4r787d2k,Special Offer by the Newspaper for outside literature,,The Times
Moore's County Grit,"""Moore's County Grit""",1881,,Broadsides Collection,Housewares,,,"advertisements', 'color drawings",https://idn.duke.edu/ark:/87924/r4vm44p05,lovely color picture.  Also includes testimony.,,North Carolina Mill Stone Co.
People's Dramatic News,"""People's Dramatic News""",1881,,Broadsides Collection,Price List,,,"advertisements', 'black-and-white drawings",https://idn.duke.edu/ark:/87924/r4tq5t40c,,,Peoples Theatre
Pictorial Bible Commentator,Pictorial Bible Commentator,1881,,Broadsides Collection,"Price List', 'Books",,,advertisements,https://idn.duke.edu/ark:/87924/r4dr2qz5s,includes envelope,,B. F. Johnson & Co.
Richmond Gem Catalogue,,1881,Allen & Ginter Tobacco and Cigarettes,Tobacco Advertising,Tobacco,,,"advertisements', 'color drawings",https://idn.duke.edu/ark:/87924/r4pg1kb6w,"Package images, information and prices for Allen & Ginter products.",,Allen & Ginter
The Greatest Thread and Needle in the World,The Greatest Thread and Needle in the World,1881,spool cotton and needle,Advertising Ephemera Collection,"Military', 'Sewing Equipment and Supplies",,,"advertisements', 'color drawings",https://idn.duke.edu/ark:/87924/r4p55g668,"""note image of Cleopatra's needle""",,"""J. & P. Coats' Thread"""
The Horsford Almanac and Cook Book,,1881,"""Horsford's Bread Preparation""",Nicole Di Bona Peterson Collection of Advertising Cookbooks,Misc. Recipes and Patent Medicines,,,advertisements,https://idn.duke.edu/ark:/87924/r4mc8t45m,"emphasis on ""healthful food."" Images of selected pages from this item are available. Chapter headings:  Almanac Information; Advertisements -  January Calendar with Almanac information -  Public Recommendations -  February Calendar with Almanac information -  Diplomas and Awards Received; Treatment of Diseases with Acid Phosphate -  Horsford\'s Bread Preparation; Recipes -  Advertisements (Sterling Potash and Dwight\'s Super-Carb Soda) -  Back Cover.",,Rumford Chemical Works
Dr. Probert's Malarial Remedy,"""Dr. Probert's Malarial Remedy""",circa 1881,Malarial remedy,Advertising Ephemera Collection,Health and Patent Medicines,,,"advertisements', 'color drawings",https://idn.duke.edu/ark:/87924/r4cr5q47t,will cure chills and fever,,"""Dr. Robert's Malarial Remedy"""
Uterine Displacements,Uterine Displacements,circa 1881,"""Dr. McIntosh's Natural Uterine Supporter""",Advertising Ephemera Collection,"Price List', 'Health and Patent Medicines",,,"advertisements', 'black-and-white drawings",https://idn.duke.edu/ark:/87924/r49884b56,,,Dr. McIntosh Natural Uterine Supporter Co.
American and Foreign Patents,American and Foreign Patents,1882,"Charles H. Fowler, Attorney-at-Law and Solicitor of Patents",Advertising Ephemera Collection,Attorneys,,,advertisements,https://idn.duke.edu/ark:/87924/r4wm15j99,non-scanned portion of item includes various testimonials.,,Charles H. Fowler
B and O The Model Fast Line via Washington,B and O The Model Fast Line via Washington,1882,railway - travel,Advertising Ephemera Collection,"Children', 'Price List', 'Railroads",,,"advertisements', 'color drawings",https://idn.duke.edu/ark:/87924/r4rj4bj83,"""selected images from booklet.  Booklet also contains timetables and map of the United States showing B and O's lines and connections.""",,Baltimore & Ohio Railroad
Catalogue of Supplies and Machinery for Public Institutions,Catalogue of Supplies and Machinery for Public Institutions,1882,"A.M. Dolph, builder of Laundries",Advertising Ephemera Collection,Machinery and Instruments,,,"advertisements', 'black-and-white drawings",https://idn.duke.edu/ark:/87924/r4dv1fc60,images have various illustrators,,A. M. Dolph
Harper's Periodicals,"""Harper's Periodicals""",1882,,Broadsides Collection,"Price List', 'Magazines and Newspapers",,,advertisements,https://idn.duke.edu/ark:/87924/r4pr7pm4s,,,Harper & Brothers
Mastodon Shows,Mastodon Shows,1882,Mastodon show,Advertising Ephemera Collection,"African/African-American', 'Expositions, Fairs, and Festivals",,,"advertisements', 'engravings (prints)",https://idn.duke.edu/ark:/87924/r4pg1kb7c,,,"Maybury, Pullman and Hamilton United Mastodon Shows"
Pacific Bank,Pacific Bank,1882,,Broadsides Collection,Banking and Financial,,,advertisements,https://idn.duke.edu/ark:/87924/r48c9st1h,"""a semi-annual statement on the bank's status""",,Pacific Bank
Palliser's American Cottage Homes.,"""Palliser's American Cottage Homes.""",1882,,Broadsides Collection,"Price List', 'Books",,,advertisements,https://idn.duke.edu/ark:/87924/r4th8db3m,,,"Palliser, Palliser, & Co."
"Plows, Plow Casting, &C.","Plows, Plow Casting, &C.",1882,,Broadsides Collection,"Price List', 'Machinery and Tools",,,advertisements,https://idn.duke.edu/ark:/87924/r4wh2g541,F-354,,Turner & Sons
Pond's  Extract.  The Ladies' Friend.,"""Pond's  Extract.  The Ladies' Friend.""",1882,"""Pond's Extract""","""Pond's""",Premiums,unknown,magazines (periodicals),"advertisements', 'black-and-white drawings",https://idn.duke.edu/ark:/87924/r40r9nw2j,,,"""Pond's Extract Co."""
Storage,,1882,Storage,Tobacco Advertising,Nature,,,"advertisements', 'black-and-white drawings",https://idn.duke.edu/ark:/87924/r4542kz29,"""Brochure for Pace's (Brick) Warehouse.  Picture of a cow on front.""",,"""Pace's (Brick) Warehouse"""
Summer Excursion Routes,Summer Excursion Routes,1882,Summer Excursion Routes,Advertising Ephemera Collection,"Price List', 'Railroads",,,"advertisements', 'engravings (prints)",https://idn.duke.edu/ark:/87924/r4dr2qz9q,excursion descriptions and prices.,,Northern Central Railway
"The ""Leader"" Chilled Plow.","The ""Leader"" Chilled Plow.",1882,"""Leader"" Chilled Plow",Advertising Ephemera Collection,"Price List', 'Farm Machinery",,,"advertisements', 'engravings (prints)",https://idn.duke.edu/ark:/87924/r4sn02t1t,"other miscellaneous devices as well (cider mill, and straw cutter).  Circular",,Charles T. Palmer
The Olympic Lorgnette,The Olympic Lorgnette,1882,"The Comedians, Robson and Crane",Advertising Ephemera Collection,Drama,,,"advertisements', 'black-and-white drawings",https://idn.duke.edu/ark:/87924/r4ns0nn65,misc. ads,,Olympic Theater
The Youth's Companion,"""The Youth's Companion""",1882,"""Youth's Companion Magazine""",Advertising Ephemera Collection,"Children', 'Books and Publishing",,,"advertisements', 'color drawings",https://idn.duke.edu/ark:/87924/r47p8w365,fold out calendar,,Perry Mason & Co.
Tise's Improved Well Fixture,"""Tise's Improved Well Fixture""",1882,,Broadsides Collection,Machinery and Tools,,,"advertisements', 'black-and-white drawings",https://idn.duke.edu/ark:/87924/r4tm73q20,,,C. H. Tise
Wando Dissolved Bone,Wando Dissolved Bone,1882,Phosphate,Advertising Ephemera Collection,Fertilizers,,,advertisements,https://idn.duke.edu/ark:/87924/r4222sw9n,,,Wando Phosphate Company
Wool,Wool,1882,,Broadsides Collection,"Price List', 'Commission Merchants",,,advertisements,https://idn.duke.edu/ark:/87924/r4vm44q32,F-353,,F. & H. Fries
Agricultural Lime and Carbonate of Lime,Agricultural Lime and Carbonate of Lime,circa 1882,Limestone Fertilizer,Advertising Ephemera Collection,"Price List', 'Fertilizers",,,advertisements,https://idn.duke.edu/ark:/87924/r4br8p528,,,French Bros.
A First Class Literary and Commercial School,A First Class Literary and Commercial School,1883,,Broadsides Collection,"Price List', 'Education and Coed",,,advertisements,https://idn.duke.edu/ark:/87924/r4w08z886,images. lists faculty and students,,Oak Ridge Institute
Government of North Carolina---1883,Government of North Carolina---1883,1883,,Broadsides Collection,,,,"advertisements', 'black-and-white drawings",https://idn.duke.edu/ark:/87924/r4gf0pk56,includes the floor plan of the North Carolina State Senate,,North Carolina Government
Home And Farm Advertising Rates,Home And Farm Advertising Rates,1883,,Broadsides Collection,"Price List', 'Advertising Rates",,,advertisements,https://idn.duke.edu/ark:/87924/r4gq6st7k,price list includes discounts.,,B. F. Avery & Sons
"Live Stock Department, ""Great Eastern"" Insurance Company, 54 Lexington Street, Baltimore.","Live Stock Department, ""Great Eastern"" Insurance Company, 54 Lexington Street, Baltimore.",1883,,Broadsides Collection,"Price List', 'Insurance",,,"advertisements', 'black-and-white drawings",https://idn.duke.edu/ark:/87924/r4xp6wt1m,pink paper.    Insurance for livestock!,,Great Eastern Mutual
Maury,Maury,1883,,Broadsides Collection,"Price List', 'Books",,,"advertisements', 'black-and-white drawings",https://idn.duke.edu/ark:/87924/r46w9809z,,,University Publishing Company
Ridley's Fashion Magazine,"""Ridley's Fashion Magazine""",1883,,Broadsides Collection,Magazines and Newspapers,,,advertisements,https://idn.duke.edu/ark:/87924/r4kd1s87b,ad actually has four pages.  The two missing make up a subscription form.,,Edwd. Ridley & Sons
The Altamonte,The Altamonte,1883,,Broadsides Collection,Health Resorts,,,"advertisements', 'black-and-white drawings",https://idn.duke.edu/ark:/87924/r4pz5397g,,,Frank G. Staples
Pork-Packers,Pork-Packers,1883 to 1884,meat products,Advertising Ephemera Collection,"Price List', 'Food",,,"advertisements', 'engravings (prints)",https://idn.duke.edu/ark:/87924/r4445k36v,,,"V. Hechler, Jr. & Bro."
Beatty's Beethoven Organs,"""Beatty's Beethoven Organs""",circa 1883,Beethoven Organs,Advertising Ephemera Collection,"European', 'Price List', 'Musical Instruments",,,"advertisements', 'engravings (prints)",https://idn.duke.edu/ark:/87924/r43b5xx70,"church service, working at night, views from the factory",,Daniel F. Beatty
The Broadstreet Press and Bindery,The Broadstreet Press and Bindery,circa 1883,book binding and publishing,Advertising Ephemera Collection,Books and Publishing,,,"advertisements', 'engravings (prints)",https://idn.duke.edu/ark:/87924/r4rf5n75p,,,Bradstreet Press and Bindery
Allison & Addison Star Brand Guano,Allison & Addison Star Brand Guano,1884,Guano,Advertising Ephemera Collection,Fertilizers,,,advertisements,https://idn.duke.edu/ark:/87924/r4rx9531h,also advertises for acid phosphate made from dissolved South Carolina bone.,,Allison & Addison Manufacturers
Allison & Addison's Fertilizers,"""Allison & Addison's Fertilizers""",1884,,Broadsides Collection,Fertilizer,,,"advertisements', 'color drawings",https://idn.duke.edu/ark:/87924/r4222sw3r,,,Allison & Addison Manufacturers
Cross-Cut Cigarettes,,1884,Cross-Cut Cigarettes,Tobacco Advertising,"Cigarettes, Misc.",,,"advertisements', 'color drawings",https://idn.duke.edu/ark:/87924/r4ff3np30,"Company explains why location/superiority of manufacturing facilities and surpassing knowledge make Cross-Cut Cigarettes of a higher quality, cheaper, and more popular",,W. Duke Sons & Co.
Dear Sir...,Dear Sir...,1884,"Tobacco Manure - ""Star Brand"" Special",Advertising Ephemera Collection,Fertilizers,,,"advertisements', 'color drawings",https://idn.duke.edu/ark:/87924/r4ht2j443,,,Hinshaw & Bynum
Farmer's Pocket Companion,"""Farmer's Pocket Companion""",1884,John Deere Plows and Cultivators,Advertising Ephemera Collection,Farm Machinery,,,"advertisements', 'engravings (prints)",https://idn.duke.edu/ark:/87924/r42r3qm24,,,John Deere and Company
No Kicking When Bull Fertilizer Is Used,No Kicking When Bull Fertilizer Is Used,1884,Fertilizer,Advertising Ephemera Collection,"African/African-American', 'Fertilizers",,,"advertisements', 'color drawings",https://idn.duke.edu/ark:/87924/r4bk18f30,,,Durham Bull Fertilizer
Plows and Agricultural Implements,Plows and Agricultural Implements,1884,B. F. Avery Plows,Advertising Ephemera Collection,"Price List', 'Farm Machinery",,,"advertisements', 'engravings (prints)",https://idn.duke.edu/ark:/87924/r4df6mt17,selected images from calendar.  Calendar includes images of plows with prices and descriptions. letter and calendar,,B. F. Avery & Sons
Pratt's Patent Prepared,"""Pratt's Patent Prepared""",1884,"""Pratt's Patent Prepared Gasoline""",Advertising Ephemera Collection,"Price List', 'Autos and Roads",,,advertisements,https://idn.duke.edu/ark:/87924/r4hq3tp00,"lamp oil, for hotel proprietors",,Pratt Manufacturing Co.
Public Sale,Public Sale,1884,,Broadsides Collection,Estate Sale,,,advertisements,https://idn.duke.edu/ark:/87924/r4zk57c29,,,Shenandoah Co.
"Southern Exposition at Louisville, KY.","Southern Exposition at Louisville, KY.",1884,,Broadsides Collection,Entertainment,,,"advertisements', 'black-and-white drawings",https://idn.duke.edu/ark:/87924/r47m05s19,,,Nelson County
Spring and Summer ...,Spring and Summer ...,1884,dry goods (foreign and domestic),Advertising Ephemera Collection,Clothing,,,advertisements,https://idn.duke.edu/ark:/87924/r4057fj5d,,,E. B. Nugent
The Valley Mutual Life Association,The Valley Mutual Life Association,1884,,Broadsides Collection,Insurance,,,"advertisements', 'black-and-white drawings",https://idn.duke.edu/ark:/87924/r4cc0wk4k,women,,Valley Mutual Life Association of Virginia
This Is The Genuine!,This Is The Genuine!,1884,"""Pond's Extract""","""Pond's""",,unknown,magazines (periodicals),"advertisements', 'black-and-white drawings",https://idn.duke.edu/ark:/87924/r4bc3vp69,,,"""Pond's Extract Co."""
Wheat and Cattle Fair,Wheat and Cattle Fair,1884,,Broadsides Collection,Entertainment,,,advertisements,https://idn.duke.edu/ark:/87924/r4959f18p,,,unknown
Retail Price List,Retail Price List,1884 to 1885,"cotton gins, mills, plows",Advertising Ephemera Collection,"Price List', 'Farm Machinery",,,"advertisements', 'engravings (prints)",https://idn.duke.edu/ark:/87924/r4gf0pk6p,"product: cotton gins, mills, plows and other farm machinery",,S. R. White & Bro.
Patents,Patents,circa 1884,"Wm. H. Brereton, Solicitor and Attorney for Patents",Advertising Ephemera Collection,"Price List', 'Attorneys",,,advertisements,https://idn.duke.edu/ark:/87924/r4cv4dg0v,front of card has been manually corrected.,,Wm. H. Brereton
"1885 Holiday Season 1885.  Ramsay, Baker & Co.  German And Bohemian Goods","1885 Holiday Season 1885.  Ramsay, Baker & Co.  German And Bohemian Goods",1885,,Broadsides Collection,"Price List', 'Dry Goods",,,advertisements,https://idn.duke.edu/ark:/87924/r4db7xf1c,"pink paper, Ramsay, Baker and Co. is the successors to D.F. Haynes and Co.",,"Ramsay, Baker & Co."
"A Catalogue of Drugs, Medicines, Paints, Oils, Dye-Stuffs","A Catalogue of Drugs, Medicines, Paints, Oils, Dye-Stuffs",1885,,Broadsides Collection,"Price List', 'Medical",,,advertisements,https://idn.duke.edu/ark:/87924/r4fn12g80,,,R. W. Powers & Co.
Annual 1885 For the Farm & Household With Compliments of Mitchell & Lewis,Annual 1885 For the Farm & Household With Compliments of Mitchell & Lewis,1885,Farm and Spring Wagons,Advertising Ephemera Collection,"Carriages, Buggies, etc.",,,"advertisements', 'black-and-white drawings",https://idn.duke.edu/ark:/87924/r4bg2k107,,,"Mitchell, Lewis & Co."
Benj. T. Crump & Co.,Benj. T. Crump & Co.,1885,,Broadsides Collection,Carriages and Wagons,,,"advertisements', 'black-and-white drawings",https://idn.duke.edu/ark:/87924/r4w66c04z,pictures of carriages,,Benj. T. Crump & Co.
"Bring your Cotton to Holland's GIN Lively, ALA.","""Bring your Cotton to Holland's GIN Lively, ALA.""",1885,,Broadsides Collection,Services - Agricultural,,,advertisements,https://idn.duke.edu/ark:/87924/r41n80c3b,F-143,,Lan Holland
"Do Not Be Imposed Upon.  Pain Disappears.  Inflammation Vanish, Hemorrhages Cease.  Pond's  Extract.","""Do Not Be Imposed Upon.  Pain Disappears.  Inflammation Vanish, Hemorrhages Cease.  Pond's  Extract.""",1885,"""Pond's Extract""","""Pond's""",Premiums,unknown,magazines (periodicals),"advertisements', 'black-and-white drawings",https://idn.duke.edu/ark:/87924/r4vm44q9z,,,"""Pond's Extract Co."""
Kentucky Sam!,Kentucky Sam!,1885,,Broadsides Collection,"Price List', 'Animals and Stud",,,"advertisements', 'black-and-white drawings",https://idn.duke.edu/ark:/87924/r4xp6ww1h,beautiful image  Id: F-358,,V. W. . Perry
McCormick Harvesting Machine Company,McCormick Harvesting Machine Company,1885,McCormick Machines,Advertising Ephemera Collection,Farm Machinery,,,"advertisements', 'color drawings",https://idn.duke.edu/ark:/87924/r4sn02t3s,"back: ""for sale by A.A. Shuford, Hickory, NC""   includes drawing ""Treading out the grain in Oriental Style.""   (missing inside contents)",,McCormick Harvesting Machine Co.
New Shaker Illustrated Almanac,New Shaker Illustrated Almanac,1885,,Broadsides Collection,Books,,,advertisements,https://idn.duke.edu/ark:/87924/r40001r48,,,Office of A. J. White
Official Programme,Official Programme,1885,,Broadsides Collection,"Sports', 'Price List', 'Gambling",,,"advertisements', 'black-and-white drawings",https://idn.duke.edu/ark:/87924/r4sx66008,Horse racing. The price lists the entrance bets and winnings.  Gambling and Racing,,Coney Island Jockey Club
Our Drummer,Our Drummer,1885,,Broadsides Collection,"Price List', 'Dry Goods",,,advertisements,https://idn.duke.edu/ark:/87924/r4833pq9r,F-360,,Houston & Bro.
Peoples Dramatic News,Peoples Dramatic News,1885,misc. ads,Advertising Ephemera Collection,Drama,,,"advertisements', 'black-and-white drawings",https://idn.duke.edu/ark:/87924/r4x92378j,,,"""People's Theater"""
Phoenix Carriage Works,Phoenix Carriage Works,1885,"carriages, phaetons, buggies, and spring wagons",Advertising Ephemera Collection,"Price List', 'Carriages, Buggies, etc.",,,"advertisements', 'engravings (prints)",https://idn.duke.edu/ark:/87924/r4ks6kt48,,,Phoenix Carriage Works
Pinkerton's National Detective Agency,"""Pinkerton's National Detective Agency""",1885,,Broadsides Collection,Services - Professional,,,"advertisements', 'black-and-white drawings",https://idn.duke.edu/ark:/87924/r4513wp19,reward for arrest due to forgery,,"""Pinkerton's National Detective Agency"""
Ransom's Family Receipt Book,,1885,"""Family medicines: King of the Blood, Dr. Trask's Magnetic Ointment""",Nicole Di Bona Peterson Collection of Advertising Cookbooks,Misc. Recipes and Patent Medicines,,,advertisements,https://idn.duke.edu/ark:/87924/r4n29qv7b,"Miscellaneous facts and tips on first aid, farming, tables of weights, etc. Images of each page from this item are available. Chapter headings:  Soups, Meats, Side Dishes, Etc. -  Pies, Puddings, Desserts, Etc. -  Bread, Breakfast, Tea and Sweet Cakes -  Preserves, Pickles, Fancies, Etc. -  Receipts For Invalids -  Dinner bills of Fare -  Miscellaneous Receipts -  Rules, Tables of Weights, Etc. -  Painting, Etc. -  Dyeing -  Woolen Goods -  Index to Receipts of Different Years -  Back Cover Calendar.",,"D. Ransom, Son & Co."
Sparkling Catawba Springs,Sparkling Catawba Springs,1885,,Broadsides Collection,Health Resorts,,,advertisements,https://idn.duke.edu/ark:/87924/r4k64cj90,,,Catawba Springs
Take Notice!,Take Notice!,1885,,Broadsides Collection,Hardware,,,"advertisements', 'black-and-white drawings",https://idn.duke.edu/ark:/87924/r40c4v98m,Armored Hose,,Waterbury Rubber Co.
The Common Sense Family Sewing Machine,The Common Sense Family Sewing Machine,1885,,Broadsides Collection,"Price List', 'Machinery and Tools",,,advertisements,https://idn.duke.edu/ark:/87924/r47942m93,broadside has document tape holding it together.,,Secomb & Co.
The New Price List of Woolen Horse Blankets...,The New Price List of Woolen Horse Blankets...,1885,Horse and Carriage supplies,Advertising Ephemera Collection,"Price List', 'Carriages, Buggies, etc.",,,"advertisements', 'engravings (prints)",https://idn.duke.edu/ark:/87924/r4ms3mq6g,,,Stephen Ballard & Co.
Valuable Property !,Valuable Property !,1885,,Broadsides Collection,Land and Homes,,,advertisements,https://idn.duke.edu/ark:/87924/r40v8c64w,,,North Eastern Railroad
God created man in his own image...,God created man in his own image...,circa 1885,"Brochures by Alice B. Stockham, M.D.",Advertising Ephemera Collection,"Children', 'Price List', 'Health and Patent Medicines",,,"advertisements', 'black-and-white drawings",https://idn.duke.edu/ark:/87924/r41r6pq2w,leaflet and insert,,Alice B. Stockham & Co.
Pernin's Universal Phonography,"""Pernin's Universal Phonography""",circa 1885,Shorthand Instructions,Advertising Ephemera Collection,Education,,,"advertisements', 'black-and-white drawings",https://idn.duke.edu/ark:/87924/r4t72949j,includes testimonials and examples.  selections from pamphlet.,,H. M. Pernin
Thomas Rakes and Tedders,Thomas Rakes and Tedders,circa 1885,Rakes and Tedders,Advertising Ephemera Collection,Farm Machinery,,,"advertisements', 'color drawings",https://idn.duke.edu/ark:/87924/r42z14d17,,,J. H. Thomas & Sons
