name,year,headline,company,product,category,subject,publication,medium,format,link,description,location
"""Air-Spun"" Make-up",1944,"""Air-Spun"" Make-up","Coty, Inc.",Air-Spun Make-Up,Beauty and Hygiene (1911-1956),"Illustration, Painting, Cosmetics",Good Housekeeping,magazines (periodicals),advertisements,https://idn.duke.edu/ark:/87924/r4154f901,,
"""Are You My Daddy?""",1944,"""Are You My Daddy?""",Studebaker Corporation,5th War Loan,World War II (1942-1945),"Children, Military, Illustration, Painting, War, War Bonds",New York Times,newspapers,advertisements,https://idn.duke.edu/ark:/87924/r41j97t3d,,
"""Buy An Extra War Bond For You-And Me...""",1944,"""Buy An Extra War Bond For You-And Me...""",Eureka Vacuum Cleaner Co.,War bonds,World War II (1942-1945),"Military, War, War Bonds",McCalls,magazines (periodicals),"advertisements, drawings (visual works)",https://idn.duke.edu/ark:/87924/r4k35n042,,
"""Ere Now! Whats Comin Off? (Farnsworth television in England 10 years ago)",1944,"""Ere Now! Whats Comin Off? (Farnsworth television in England 10 years ago)",Farnsworth Television and Radio Corporation,Television,Television (1939-1957),"Farnsworth, Television",Broadcasting,magazines (periodicals),"advertisements, drawings (visual works)",https://idn.duke.edu/ark:/87924/r4833nm0n,,
"""Happy Landings"" says: ""We Must Include the Ladies on our Postwar Travel Plans!""",1944,"""Happy Landings"" says: ""We Must Include the Ladies on our Postwar Travel Plans!""",United Air Lines,Travel Agency Program,Transportation (1938-1957),"Transportation & Travel, Airlines",Travel Trade,magazines (periodicals),"advertisements, drawings (visual works)",https://idn.duke.edu/ark:/87924/r4j09wp1n,,
"""Hey Mac--Get In On This!""",1944,"""Hey Mac--Get In On This!""",Hallicrafters Company,Contest,Radio (1922-1956),"Military, Contests, Radio, War",Broadcasting,magazines (periodicals),"advertisements, drawings (visual works)",https://idn.duke.edu/ark:/87924/r4222rp7k,,
"""I aint afraid of his K. O.-its his B. O. in the clinches that gets me.""",1944,"""I aint afraid of his K. O.-its his B. O. in the clinches that gets me.""",Lever Brothers Company,Lifebuoy Soap,Beauty and Hygiene (1911-1956),"Sports, Illustration, Cartoons, Soaps",Life,magazines (periodicals),advertisements,https://idn.duke.edu/ark:/87924/r4rn30t86,,
"""I hear the wars practically over... back home!""",1944,"""I hear the wars practically over... back home!""",U. S. Treasury Dept.,6th War Loan,World War II (1942-1945),"Military, War, War Bonds",Dental Digest,magazines (periodicals),advertisements,https://idn.duke.edu/ark:/87924/r44m91w4x,,
"""I may have to stop using Lifebuoy for B. O. for a little while-lifes getting so complicated""",1944,"""I may have to stop using Lifebuoy for B. O. for a little while-lifes getting so complicated""",Lever Brothers Company,Lifebuoy Soap,Beauty and Hygiene (1911-1956),"Military, Illustration, Cartoons, Soaps",Look,magazines (periodicals),advertisements,https://idn.duke.edu/ark:/87924/r4cf9jt0r,,
"""Im Saving To Go To Ag College... and Buying Bullets for Pete!""",1944,"""Im Saving To Go To Ag College... and Buying Bullets for Pete!""",U. S. Treasury Dept.,War bonds,World War II (1942-1945),"Children, War, War Bonds",Successful Farming,magazines (periodicals),"advertisements, drawings (visual works)",https://idn.duke.edu/ark:/87924/r4x92242w,,
"""Im sorry I invented the pocket!""",1944,"""Im sorry I invented the pocket!""",U. S. Treasury Dept./ War Advertising Council,War bonds,World War II (1942-1945),"War, War Bonds",Family Circle,magazines (periodicals),"advertisements, drawings (visual works)",https://idn.duke.edu/ark:/87924/r46t0hg4m,,
"""Im walking on air...when I wear Lavender!""",1944,"""Im walking on air...when I wear Lavender!""","Yardley of London, Inc.",English Lavender Cosmetics,Beauty and Hygiene (1911-1956),Cosmetics,Harpers Bazaar,magazines (periodicals),advertisements,https://idn.duke.edu/ark:/87924/r4ht2h00z,,
"""Internal protection is the Modern way!""",1944,"""Internal protection is the Modern way!""",Personal Products Corporation,Meds Tampons,Beauty and Hygiene (1911-1956),Feminine Hygiene,Motion Picture,magazines (periodicals),"advertisements, drawings (visual works)",https://idn.duke.edu/ark:/87924/r4zw19c36,,
"""Kiss me Again With Your Barbasol Face""",1944,"""Kiss me Again With Your Barbasol Face""",Barbasol,Barbasol Shaving Cream,Beauty and Hygiene (1911-1956),Shaving Supplies,Life,magazines (periodicals),"advertisements, drawings (visual works)",https://idn.duke.edu/ark:/87924/r4mg7gg25,,
"""Lavender goes well with everything...""",1944,"""Lavender goes well with everything...""","Yardley of London, Inc.",English Lavender Cosmetics,Beauty and Hygiene (1911-1956),Cosmetics,Life,magazines (periodicals),advertisements,https://idn.duke.edu/ark:/87924/r4d21s570,,
"""Mother! Come quick... its our Jim on the radio from Naples!""",1944,"""Mother! Come quick... its our Jim on the radio from Naples!""",Admiral Corporation,Radio,Radio (1922-1956),"Military, Radio, War",Colliers,magazines (periodicals),"advertisements, drawings (visual works)",https://idn.duke.edu/ark:/87924/r46t0hd4q,,
"""My Heart For A Barbasol Face!""",1944,"""My Heart For A Barbasol Face!""",Barbasol,Barbasol Shaving Cream,Beauty and Hygiene (1911-1956),"Military, Shaving Supplies",Life,magazines (periodicals),"advertisements, drawings (visual works)",https://idn.duke.edu/ark:/87924/r4r49gw23,,
"""Not on my Sofa""",1944,"""Not on my Sofa""",Kreml,hair tonic,Beauty and Hygiene (1911-1956),Hair Preparations,Redbook,magazines (periodicals),"advertisements, drawings (visual works)",https://idn.duke.edu/ark:/87924/r4jw87740,,
"""Pineapples"" (Poison To Japs)",1944,"""Pineapples"" (Poison To Japs)",Bradleys Pie,War bonds,World War II (1942-1945),"Military, War, War Bonds",Oregon Journal,newspapers,"advertisements, drawings (visual works)",https://idn.duke.edu/ark:/87924/r47m04k6m,,
"""Scorched Earth"" by Radio... a new weapon of war",1944,"""Scorched Earth"" by Radio... a new weapon of war",Westinghouse Electronics,Radio,Radio (1922-1956),"Military, Radio, War",Time,magazines (periodicals),"advertisements, drawings (visual works)",https://idn.duke.edu/ark:/87924/r4nv99t4d,,
"""Son. Money Cannot Buy These Words, But It Can Defend Them!""",1944,"""Son. Money Cannot Buy These Words, But It Can Defend Them!""",Electric Auto-Lite Company,6th War Loan,World War II (1942-1945),"Children, War, War Bonds",Time,magazines (periodicals),advertisements,https://idn.duke.edu/ark:/87924/r48c9rp8p,,
"""Such Stuff as Dreams are Made on""...",1944,"""Such Stuff as Dreams are Made on""...",Elizabeth Arden,Pink Powders,Beauty and Hygiene (1911-1956),Cosmetics,Harpers Bazaar,magazines (periodicals),"advertisements, drawings (visual works)",https://idn.duke.edu/ark:/87924/r4ft8f61z,,
"""The Japs Arent As Cross-Eyed As You Think""",1944,"""The Japs Arent As Cross-Eyed As You Think""",Revere Copper and Brass Inc.,War bonds,World War II (1942-1945),"Military, Testimonial, War, War Bonds, Chief Signalman Willard A. Murphy",Time,magazines (periodicals),advertisements,https://idn.duke.edu/ark:/87924/r4db7w934,,
"""What I wouldnt give for some new track and a couple more trains!""",1944,"""What I wouldnt give for some new track and a couple more trains!""",Burlington Route,role in WWII,Transportation (1938-1957),"Railroads, Transportation & Travel",Times,newspapers,"advertisements, drawings (visual works)",https://idn.duke.edu/ark:/87924/r4m902n41,,
"""Why Am I Dying?""",1944,"""Why Am I Dying?""",U. S. Treasury Dept.,5th War Loan,World War II (1942-1945),"Military, War, War Bonds",Greenville Piedmont,newspapers,"advertisements, drawings (visual works)",https://idn.duke.edu/ark:/87924/r4cc0vc9w,,
"""Why shouldnt I buy it? Ive got the money!""",1944,"""Why shouldnt I buy it? Ive got the money!""",War Advertising Office,Anti-inflation,World War II (1942-1945),"War, Anti-inflation",Life,magazines (periodicals),"advertisements, drawings (visual works)",https://idn.duke.edu/ark:/87924/r47d2qt2j,,
"""Wont you buy a bond, Mister, sos my Daddy can come home?""",1944,"""Wont you buy a bond, Mister, sos my Daddy can come home?""",Savings Bank of Brooklyn,5th War Loan,World War II (1942-1945),"Children, War, War Bonds",Tribune,newspapers,advertisements,https://idn.duke.edu/ark:/87924/r40z71g8x,,
"""Wonderful what Lavender does...!""",1944,"""Wonderful what Lavender does...!""","Yardley of London, Inc.",English Lavender Cosmetics,Beauty and Hygiene (1911-1956),Cosmetics,McCalls,magazines (periodicals),advertisements,https://idn.duke.edu/ark:/87924/r4x34nd3p,,
"""Yes, Son, When We Buy a Better Radio, It Will Be a Sentinel""",1944,"""Yes, Son, When We Buy a Better Radio, It Will Be a Sentinel""",Sentinel Radio Corporation,Radio,Radio (1922-1956),"Children, Radio, Sentinel",Cappers Farmer,magazines (periodicals),"advertisements, drawings (visual works)",https://idn.duke.edu/ark:/87924/r4fx74f9w,,
"""and Meds are only $.19 now!""",1944,"""and Meds are only $.19 now!""",Personal Products Corporation,Meds Tampons,Beauty and Hygiene (1911-1956),Feminine Hygiene,McCalls,magazines (periodicals),"advertisements, drawings (visual works)",https://idn.duke.edu/ark:/87924/r4k64bc8v,,
"""lights low...and Lavender!""",1944,"""lights low...and Lavender!""","Yardley of London, Inc.",English Lavender Cosmetics,Beauty and Hygiene (1911-1956),Cosmetics,Womans Home Companion,magazines (periodicals),advertisements,https://idn.duke.edu/ark:/87924/r45m62v42,,
"""meds internal protection is more comfortable!""",1944,"""meds internal protection is more comfortable!""",Personal Products Corporation,Meds Tampons,Beauty and Hygiene (1911-1956),Feminine Hygiene,Movie Show,magazines (periodicals),"advertisements, drawings (visual works)",https://idn.duke.edu/ark:/87924/r4v40kk0v,,
... to the most discriminating ears in New York,1944,... to the most discriminating ears in New York,Philharmonic Radio Corporation,Philharmonic radio-phonograph,Radio (1922-1956),"Radio, Philharmonic",This Week,newspapers,advertisements,https://idn.duke.edu/ark:/87924/r4m32ns9z,,
"...""but Berlin is a sea of flames!""",1944,"...""but Berlin is a sea of flames!""",Studebaker Corporation,4th War Loan,World War II (1942-1945),"War, War Bonds",Time,magazines (periodicals),"advertisements, drawings (visual works)",https://idn.duke.edu/ark:/87924/r42v2cw3q,,
...Theyre doing more!,1944,...Theyre doing more!,F. & M. Schaefer Brewing Co.,5th War Loan,World War II (1942-1945),"Military, War, War Bonds",New York Herald Tribune,newspapers,advertisements,https://idn.duke.edu/ark:/87924/r41n7z677,,
...and Your sacrifice is just to Lend your money,1944,...and Your sacrifice is just to Lend your money,United Fruit Company,War bonds,World War II (1942-1945),"Military, Illustration, Painting, War, War Bonds",Tribune,newspapers,advertisements,https://idn.duke.edu/ark:/87924/r4gq6rn30,,
"104 of 106 independent stations want ""better pictures""",1944,"104 of 106 independent stations want ""better pictures""",Columbia Broadcasting System,Station Poll,Television (1939-1957),"Miscellaneous, Television",Broadcasting,magazines (periodicals),advertisements,https://idn.duke.edu/ark:/87924/r4qb9vt6f,,
4 Things You Should Buy (Before You Buy Four Roses),1944,4 Things You Should Buy (Before You Buy Four Roses),Frankfort Distillers Corporation,War bonds,World War II (1942-1945),"War, War Bonds",New York Tribune,newspapers,advertisements,https://idn.duke.edu/ark:/87924/r4j09wq32,,
5th War Loan Starts June 12th,1944,5th War Loan Starts June 12th,American Fabrics Company,War bonds,World War II (1942-1945),"Military, War, War Bonds",Linens & Domestics,magazines (periodicals),"advertisements, drawings (visual works)",https://idn.duke.edu/ark:/87924/r44f1n40t,,
A Great Award for a Great Job!,1944,A Great Award for a Great Job!,War Advertising Council,"War Food Administration ""A""",World War II (1942-1945),"War, Awards",Hotel Gazette,magazines (periodicals),advertisements,https://idn.duke.edu/ark:/87924/r4zp3wk62,,
A Major Is Passing By with a handsome Barbasol Face,1944,A Major Is Passing By with a handsome Barbasol Face,Barbasol,Barbasol Shaving Cream,Beauty and Hygiene (1911-1956),"Military, Shaving Supplies",Life,magazines (periodicals),"advertisements, drawings (visual works)",https://idn.duke.edu/ark:/87924/r4x34nc4q,,
A Push Thru That Will Count,1944,A Push Thru That Will Count,"National Transportation Co., Inc.",5th War Loan,World War II (1942-1945),"War, War Bonds",Times,newspapers,advertisements,https://idn.duke.edu/ark:/87924/r4jq0tf1h,,
A Radiant Foundation is a must for Spring,1944,A Radiant Foundation is a must for Spring,Helena Rubinstein,foundation,Beauty and Hygiene (1911-1956),"Illustration, Painting, Cosmetics",Tribune,newspapers,"advertisements, drawings (visual works)",https://idn.duke.edu/ark:/87924/r4xd0rk1s,,
A Tale of Three Maps,1944,A Tale of Three Maps,"American Airlines, Inc.",Air Transportation,Transportation (1938-1957),"Transportation & Travel, Airlines",Fortune,magazines (periodicals),"advertisements, drawings (visual works)",https://idn.duke.edu/ark:/87924/r45t3gj2z,,
"A Tribute to the members of the Signal Corps, United States Army",1944,"A Tribute to the members of the Signal Corps, United States Army",Hallicrafters Company,Radio,Radio (1922-1956),"Military, Radio, War",Broadcasting,magazines (periodicals),"advertisements, drawings (visual works)",https://idn.duke.edu/ark:/87924/r4ns0mf62,,
A thousand letters which break our hearts,1944,A thousand letters which break our hearts,Zenith Radio Corporation,Transoceanic Portable Clipper,Radio (1922-1956),"Military, Radio, War",Cosmopolitan,magazines (periodicals),"advertisements, drawings (visual works)",https://idn.duke.edu/ark:/87924/r40v8b147,,
Abano,1944,Abano,"Prince Matchabelli, Inc.",Abano Bath Oil,Beauty and Hygiene (1911-1956),Cosmetics,New Yorker,magazines (periodicals),advertisements,https://idn.duke.edu/ark:/87924/r47d2qv20,,
Absent With Out Logic,1944,Absent With Out Logic,Tampax Inc.,Tampons,Beauty and Hygiene (1911-1956),"Premiums, Feminine Hygiene",Pennsylvania Medical Journal,magazines (periodicals),"advertisements, drawings (visual works)",https://idn.duke.edu/ark:/87924/r4mp4w74w,,
Action in a Straight Line,1944,Action in a Straight Line,Automatic Electric Sales Corporation,P-A-X automatic telephones,Radio (1922-1956),"War, Electronics",Time,magazines (periodicals),"advertisements, drawings (visual works)",https://idn.duke.edu/ark:/87924/r4fq9qp2c,,
Admiral Nimitz is Banking On You,1944,Admiral Nimitz is Banking On You,Timken Roller Bearing Company,War bonds,World War II (1942-1945),"Military, Famous People, Illustration, Painting, War, War Bonds, Admiral Nimitz",Saturday Evening Post,magazines (periodicals),advertisements,https://idn.duke.edu/ark:/87924/r4zk56615,,
Admiral Stark Says Every Branch Of The Service Needs Your Help-Buy Another War Bond Today!,1944,Admiral Stark Says Every Branch Of The Service Needs Your Help-Buy Another War Bond Today!,Timken Roller Bearing Company,War bonds,World War II (1942-1945),"Military, Famous People, Illustration, Painting, War, War Bonds, Admiral Stark",Saturday Evening Post,magazines (periodicals),advertisements,https://idn.duke.edu/ark:/87924/r43b5wt6r,,
Alice in Wonderland... or Through The Looking Glass of DuMont Television,1944,Alice in Wonderland... or Through The Looking Glass of DuMont Television,"Allen B. DuMont Laboratories, Inc.",Television,Television (1939-1957),"Television, DuMont",New York Times Magazine,magazines (periodicals),"advertisements, drawings (visual works)",https://idn.duke.edu/ark:/87924/r4c82528t,,
