name,year,headline,company,product,category,subject,publication,medium,format,link
Good looking... agreeable... but 'B.O.' spoiled the good impressions,1930,Good looking... agreeable... but 'B.O.' spoiled the good impressions,Lever Brothers Company,Lifebuoy Health Soap',Beauty and Hygiene (1911-1956),Soaps',Boston Herald,newspapers,advertisements',https://idn.duke.edu/ark:/87924/r4gt5g23q
Good-bye forever to aerials,1930,Good-bye forever to aerials,Insuline Corporation of America,Insultenna',Radio (1922-1956),"Radio', 'Miscellaneous'",Pittsburgh Press,newspapers,"advertisements', 'drawings (visual works)'",https://idn.duke.edu/ark:/87924/r4057d87c
"Greatly refined in quality, conveniently compact for travel",1930,"Greatly refined in quality, conveniently compact for travel",Lewis Manufacturing Company,Curads Sanitary Napkins',Beauty and Hygiene (1911-1956),Feminine Hygiene',Harper's Bazaar,magazines (periodicals),"advertisements', 'drawings (visual works)'",https://idn.duke.edu/ark:/87924/r4wm14d6n
Hickory Sanitary Belts are approved and recommended by leading medical authorities,1930,Hickory Sanitary Belts are approved and recommended by leading medical authorities,A. Stein & Company,Hickory Sanitary Belts',Beauty and Hygiene (1911-1956),Feminine Hygiene',Pilt Press,newspapers,"advertisements', 'drawings (visual works)'",https://idn.duke.edu/ark:/87924/r4hx16998
Hours of this... and this... and this... Wasted,1930,Hours of this... and this... and this... Wasted,"Lambert-Fesler, Inc.",Dew Crystal Pure Deodorant',Beauty and Hygiene (1911-1956),Deodorant',Harper's Bazaar,magazines (periodicals),advertisements',https://idn.duke.edu/ark:/87924/r4cf9jt93
"Humless Matched, 6 Second Heating, Non-Microphonic",1930,"Humless Matched, 6 Second Heating, Non-Microphonic","Tung-Sol Lamp Works, Inc.",Radio tubes',Radio (1922-1956),"Radio', 'Radio Tubes'",Chicago News,newspapers,"advertisements', 'drawings (visual works)'",https://idn.duke.edu/ark:/87924/r4v40kg5x
"Humless Matched, 6 Second Heating, Non-Microphonic",1930,"Humless Matched, 6 Second Heating, Non-Microphonic","Tung-Sol Lamp Works, Inc.",Radio tubes',Radio (1922-1956),"Radio', 'Radio Tubes'",Chicago News,newspapers,"advertisements', 'drawings (visual works)'",https://idn.duke.edu/ark:/87924/r4kk94v8b
In summer you need this inconspicuous sanitary protection,1930,In summer you need this inconspicuous sanitary protection,Kotex Company,Sanitary napkins',Beauty and Hygiene (1911-1956),Feminine Hygiene',New York Times,newspapers,advertisements',https://idn.duke.edu/ark:/87924/r4n58d60c
In the smartest sets it's secretly agreed,1930,In the smartest sets it's secretly agreed,Norwich Pharmacal Co.,Amolin Deodorant Powder',Beauty and Hygiene (1911-1956),Deodorant',Good Housekeeping,magazines (periodicals),"advertisements', 'drawings (visual works)'",https://idn.duke.edu/ark:/87924/r4m03zj8d
It's Almost Easier To Have A Lovely Skin Than Not By This Simple Du Barry Home Way,1930,It's Almost Easier To Have A Lovely Skin Than Not By This Simple Du Barry Home Way,Richard Hudnut,Du Barry Beauty Treatments',Beauty and Hygiene (1911-1956),"Premiums', 'Cosmetics'",Atlanta Journal,newspapers,"advertisements', 'drawings (visual works)'",https://idn.duke.edu/ark:/87924/r4mg7gg9j
It's Great Fun To Be Subtle About Such An Obvious Thing As A Radio,1930,It's Great Fun To Be Subtle About Such An Obvious Thing As A Radio,Macy's,Sheraton tambour desk/radio',Radio (1922-1956),"Retail', ""Macy's"", 'Radio', 'Miscellaneous'",New Yorker,magazines (periodicals),advertisements',https://idn.duke.edu/ark:/87924/r4f47hb0t
J.R.C. Radio Tubes: Thoroughbreds of Radio,1930,J.R.C. Radio Tubes: Thoroughbreds of Radio,Johnsonburg Radio Corporation,Radio tubes',Radio (1922-1956),"Famous People', 'Retail', 'Radio', 'Radio Tubes', 'Stern & Company', 'Papyrus'",Boston Post,newspapers,"advertisements', 'drawings (visual works)'",https://idn.duke.edu/ark:/87924/r4js9hr2d
J.R.C. Tubes Are Better Radio Tubes: Sealed in Cellophane - at the Factory,1930,J.R.C. Tubes Are Better Radio Tubes: Sealed in Cellophane - at the Factory,Johnsonburg Radio Corporation,Radio tubes',Radio (1922-1956),"Retail', 'Radio', 'Radio Tubes', 'Stern & Company'",Boston Traveler,newspapers,advertisements',https://idn.duke.edu/ark:/87924/r4wm14988
Joe keeps his date with the girl friend,1930,Joe keeps his date with the girl friend,Procter & Gamble Co.,Lava Soap',Beauty and Hygiene (1911-1956),"Testimonial', 'Soaps', 'George, Lava soap man'",Farm Journal,magazines (periodicals),advertisements',https://idn.duke.edu/ark:/87924/r4hq3sk1q
Keep Your Skin Young Your Hands Can Learn The Way!,1930,Keep Your Skin Young Your Hands Can Learn The Way!,Richard Hudnut,Du Barry Beauty Treatments',Beauty and Hygiene (1911-1956),"Premiums', 'Cosmetics'",Detroit News,newspapers,"advertisements', 'drawings (visual works)'",https://idn.duke.edu/ark:/87924/r40r9mr1v
Ken - Rad: Fine Radio Tubes,1930,Ken - Rad: Fine Radio Tubes,Ken-Rad Corporation,Radio tubes',Radio (1922-1956),"Radio', 'Radio Tubes'",Pittsburgh Press,newspapers,advertisements',https://idn.duke.edu/ark:/87924/r4pk07j63
Know What It Is... To Enjoy Perfect Comfort,1930,Know What It Is... To Enjoy Perfect Comfort,A. Stein & Company,Hickory Sanitary Belts',Beauty and Hygiene (1911-1956),Feminine Hygiene',Chicago News,newspapers,"advertisements', 'drawings (visual works)'",https://idn.duke.edu/ark:/87924/r4h99001q
Know What You're Buying In Radio Batteries,1930,Know What You're Buying In Radio Batteries,French Battery Company,Various',Radio (1922-1956),"Radio', 'Miscellaneous'",Collier's,magazines (periodicals),advertisements',https://idn.duke.edu/ark:/87924/r4bz61r68
Longer Time Between Shaves when you use Colgate's,1930,Longer Time Between Shaves when you use Colgate's,Colgate & Company,"""Colgate's Rapid-Shave Cream""",Beauty and Hygiene (1911-1956),"Premiums', 'Shaving Supplies'",Saturday Evening Post,magazines (periodicals),advertisements',https://idn.duke.edu/ark:/87924/r4ft8f501
Millions upon millions of lamp bulbs and Radio Tubes You Can Trust..,1930,Millions upon millions of lamp bulbs and Radio Tubes You Can Trust..,Hygrade Lamp Co.,Radio tubes',Radio (1922-1956),"Radio', 'Radio Tubes'",Saturday Evening Post,magazines (periodicals),advertisements',https://idn.duke.edu/ark:/87924/r40p0x727
"Noses, Chins and Cheeks... An excursion into physiognomy for doctors (and their wives and daughters, too)",1930,"Noses, Chins and Cheeks... An excursion into physiognomy for doctors (and their wives and daughters, too)",Richard Hudnut,Poudre Le Debut',Beauty and Hygiene (1911-1956),"Coupons', 'Cosmetics'",Journal of the American Medical Association,magazines (periodicals),advertisements',https://idn.duke.edu/ark:/87924/r4gb1z451
Now - You May Have an A.C. or D.C. RADIO all in One...,1930,Now - You May Have an A.C. or D.C. RADIO all in One...,Lestein Corporation of America,Radio tubes',Radio (1922-1956),"Radio', 'Radio Tubes'",New York Times,newspapers,advertisements',https://idn.duke.edu/ark:/87924/r4f18sx8z
Now YOU control the tone and get the exact tone you want,1930,Now YOU control the tone and get the exact tone you want,Insuline Corporation of America,Variotone Tone Control',Radio (1922-1956),"Radio', 'Miscellaneous'",New York Sun,newspapers,"advertisements', 'drawings (visual works)'",https://idn.duke.edu/ark:/87924/r43x8430b
Now... an Improved Curads still further refinements in quality,1930,Now... an Improved Curads still further refinements in quality,Lewis Manufacturing Company,Curads Sanitary Napkins',Beauty and Hygiene (1911-1956),Feminine Hygiene',Harper's Bazaar,magazines (periodicals),"advertisements', 'drawings (visual works)'",https://idn.duke.edu/ark:/87924/r4542jv31
Old ways seem crude once you know the lasting comfort of Kotex,1930,Old ways seem crude once you know the lasting comfort of Kotex,Kotex Company,Sanitary napkins',Beauty and Hygiene (1911-1956),"Coupons', 'Feminine Hygiene'",Country Home,magazines (periodicals),advertisements',https://idn.duke.edu/ark:/87924/r4t72822v
Paris...knows the way to keep that schoolgirl complexion,1930,Paris...knows the way to keep that schoolgirl complexion,Palmolive Company,Palmolive Soap',Beauty and Hygiene (1911-1956),"Testimonial', 'Soaps', 'Masse'",Woman's Home Companion,magazines (periodicals),"advertisements', 'drawings (visual works)'",https://idn.duke.edu/ark:/87924/r4z89321j
Quality reflected in reception,1930,Quality reflected in reception,Hygrade,Radio tubes',Radio (1922-1956),"Radio', 'Radio Tubes'",Pittsburgh Press,newspapers,advertisements',https://idn.duke.edu/ark:/87924/r41c1tz20
Quand le sourire illumine votre visage,1930,Quand le sourire illumine votre visage,Marie Earle,Various',Beauty and Hygiene (1911-1956),"Country of Publication', 'Cosmetics', 'Language', 'French', 'France'",Femina,magazines (periodicals),"advertisements', 'drawings (visual works)'",https://idn.duke.edu/ark:/87924/r4ff3mm3p
Reduce your radio bill with...,1930,Reduce your radio bill with...,"Clarostat Manufacturing Company, Inc.",Line Voltage Regulator',Radio (1922-1956),"Radio', 'Miscellaneous'",New York Sun,newspapers,advertisements',https://idn.duke.edu/ark:/87924/r47m04h2s
Retube For New Tone And Power,1930,Retube For New Tone And Power,Majestic Radio Tubes,Radio tubes',Radio (1922-1956),"Radio', 'Radio Tubes'",New York Times,newspapers,"advertisements', 'drawings (visual works)'",https://idn.duke.edu/ark:/87924/r40c4t23n
Sanitary Goods Week!,1930,Sanitary Goods Week!,Kotex Company,"Sanitary Napkins, Belts, and Aprons'",Beauty and Hygiene (1911-1956),Feminine Hygiene',Pittsburgh Press,newspapers,advertisements',https://idn.duke.edu/ark:/87924/r4cn6zk10
"Save At Davega, Trade-in your old Radio Tubes",1930,"Save At Davega, Trade-in your old Radio Tubes",National Union Radio Tubes,Radio tubes',Radio (1922-1956),"Retail', 'Radio', 'Davega', 'Radio Tubes'",New York Times,newspapers,"advertisements', 'drawings (visual works)'",https://idn.duke.edu/ark:/87924/r4tm72h6t
"Save At Davega, Your old Radio Tubes tested Free",1930,"Save At Davega, Your old Radio Tubes tested Free",National Union Radio Tubes,Radio tubes',Radio (1922-1956),"Retail', 'Radio', 'Davega', 'Radio Tubes'",New York Times,newspapers,"advertisements', 'drawings (visual works)'",https://idn.duke.edu/ark:/87924/r4zc7sb25
Save at Davega Money Back! They're better or you don't pay,1930,Save at Davega Money Back! They're better or you don't pay,CeCo Manufacturing Company,Radio tubes',Radio (1922-1956),"Retail', 'Radio', 'Tubes', 'Davega'",New York Times,newspapers,advertisements',https://idn.duke.edu/ark:/87924/r43r0q95q
Shaves Last Longer the Colgate Way,1930,Shaves Last Longer the Colgate Way,Colgate & Company,"""Colgate's Rapid-Shave Cream""",Beauty and Hygiene (1911-1956),"Premiums', 'Shaving Supplies'",Saturday Evening Post,magazines (periodicals),advertisements',https://idn.duke.edu/ark:/87924/r4kh0fk0h
Soap and Cream and Powder...Give your skin the cool refreshing protection that the English Woman uses,1930,Soap and Cream and Powder...Give your skin the cool refreshing protection that the English Woman uses,"Yardley & Co., Ltd.",English Lavender Cosmetics',Beauty and Hygiene (1911-1956),Cosmetics',Vanity Fair,magazines (periodicals),advertisements',https://idn.duke.edu/ark:/87924/r4ks6jr7d
"Speed Radio Tubes, They Speak Perfect English",1930,"Speed Radio Tubes, They Speak Perfect English",Cable Radio Tube Corporation,Radio tubes',Radio (1922-1956),"Radio', 'Radio Tubes'",Chicago Tribune,newspapers,"advertisements', 'drawings (visual works)'",https://idn.duke.edu/ark:/87924/r47d2qq7m
"Speed, Symbol Of Progress",1930,"Speed, Symbol Of Progress",Cable Radio Tube Corporation,Radio tubes',Radio (1922-1956),"Radio', 'Radio Tubes'",Saturday Evening Post,magazines (periodicals),"advertisements', 'drawings (visual works)'",https://idn.duke.edu/ark:/87924/r4cv4c82q
"Standard Stores, Your Radio is only as Good as its tubes",1930,"Standard Stores, Your Radio is only as Good as its tubes",Perryman Radio Tubes,Radio tubes',Radio (1922-1956),"Coupons', 'Retail', 'Radio', 'Radio Tubes', 'Standard Stores'",Boston Traveler,newspapers,"advertisements', 'drawings (visual works)'",https://idn.duke.edu/ark:/87924/r4sn01m64
"Starting Today! Westinghouse Radio $10,000 Idea Contest",1930,"Starting Today! Westinghouse Radio $10,000 Idea Contest",Westinghouse Electric & Manufacturing Company,Various',Radio (1922-1956),"Contests', 'Radio', 'Westinghouse'",Good Housekeeping,magazines (periodicals),"advertisements', 'drawings (visual works)'",https://idn.duke.edu/ark:/87924/r4qz2307m
Stop AC Tube Troubles at the Source,1930,Stop AC Tube Troubles at the Source,Ward Leonard Electric Company,Vitrohm Units',Radio (1922-1956),"Radio', 'Miscellaneous'",New York Sun,newspapers,"advertisements', 'drawings (visual works)'",https://idn.duke.edu/ark:/87924/r4vd6pn3g
Stop and Think... while you listen,1930,Stop and Think... while you listen,Perryman Radio Tubes,Radio tubes',Radio (1922-1956),"Radio', 'Radio Tubes'",Boston Post,newspapers,"advertisements', 'drawings (visual works)'",https://idn.duke.edu/ark:/87924/r4nv99t3x
"Sturdier For Longer, Better Service",1930,"Sturdier For Longer, Better Service",Majestic Radio Tubes,Radio tubes',Radio (1922-1956),"Radio', 'Radio Tubes'",Los Angeles Herald,newspapers,"advertisements', 'drawings (visual works)'",https://idn.duke.edu/ark:/87924/r4nk36n6v
Sturdy! Rugged! Alive With Power!,1930,Sturdy! Rugged! Alive With Power!,Majestic Radio Tubes,Radio tubes',Radio (1922-1956),"Radio', 'Radio Tubes'",New York Times,newspapers,"advertisements', 'drawings (visual works)'",https://idn.duke.edu/ark:/87924/r4qv3cm2x
Summer or Winter More Power More Range Truer Tone,1930,Summer or Winter More Power More Range Truer Tone,Majestic Radio Tubes,Radio tubes',Radio (1922-1956),"Radio', 'Radio Tubes'",Boston Herald,newspapers,"advertisements', 'drawings (visual works)'",https://idn.duke.edu/ark:/87924/r41r6nh6q
The Big Break!... it comes just once. Be ready for it.,1930,The Big Break!... it comes just once. Be ready for it.,Perryman Radio Tubes,Radio tubes',Radio (1922-1956),"Sports', 'Radio Programs', 'Radio', 'Radio Tubes', 'Football Broadcasts'",Detroit News,newspapers,advertisements',https://idn.duke.edu/ark:/87924/r40v8b096
The Big Break!... it comes just once. Be ready for it.,1930,The Big Break!... it comes just once. Be ready for it.,Perryman Radio Tubes,Radio tubes',Radio (1922-1956),"Sports', 'Radio Programs', 'Radio', 'Radio Tubes', 'Football Broadcasts'",Boston Post,newspapers,advertisements',https://idn.duke.edu/ark:/87924/r4w37mc5m
"The Davega Song Birds say ""Use National Union Radio Tubes and Enjoy Better Reception""",1930,"The Davega Song Birds say ""Use National Union Radio Tubes and Enjoy Better Reception""",National Union Radio Tubes,Radio tubes',Radio (1922-1956),"Retail', 'Radio', 'Davega', 'Radio Tubes'",New York Times,newspapers,"advertisements', 'drawings (visual works)'",https://idn.duke.edu/ark:/87924/r4k35mw87
"The Davis Company, Our Lowest Prices on Quality Tubes",1930,"The Davis Company, Our Lowest Prices on Quality Tubes",Davis Company,Radio tubes',Radio (1922-1956),"Radio', 'Radio Tubes'",Illegible,newspapers,"advertisements', 'drawings (visual works)'",https://idn.duke.edu/ark:/87924/r4b56dn2m
The JRC Tube Vitalizes Radio Reception,1930,The JRC Tube Vitalizes Radio Reception,Johnsonburg Radio Corporation,Radio tubes',Radio (1922-1956),"Retail', 'Radio', 'Radio Tubes', 'Stern & Company'",Boston Post,newspapers,advertisements',https://idn.duke.edu/ark:/87924/r4rv0dh44
The JRC Tube Vitalizes Radio Reception,1930,The JRC Tube Vitalizes Radio Reception,Johnsonburg Radio Corporation,Radio tubes',Radio (1922-1956),"Retail', 'Radio', 'Radio Tubes', 'Stern & Company'",Boston Traveler,newspapers,advertisements',https://idn.duke.edu/ark:/87924/r4n29pp9n
The Most Important Announcement Ever Made In The Science Of Skin Treatment,1930,The Most Important Announcement Ever Made In The Science Of Skin Treatment,Denney & Denney,Herbal Preparations',Beauty and Hygiene (1911-1956),Cosmetics',Harper's Bazaar,magazines (periodicals),advertisements',https://idn.duke.edu/ark:/87924/r49w09k9h
The Most Important Thing She Doesn't See,1930,The Most Important Thing She Doesn't See,"Lambert-Fesler, Inc.",Dew Crystal Pure Deodorant',Beauty and Hygiene (1911-1956),Deodorant',Harper's Bazaar,magazines (periodicals),advertisements',https://idn.duke.edu/ark:/87924/r42n5051v
"The Personal ""Make-Up"" Secrets of Famous Stage Stars This Month...Ara Gerald of ""Her Friend the King""",1930,"The Personal ""Make-Up"" Secrets of Famous Stage Stars This Month...Ara Gerald of ""Her Friend the King""",Luxor Limited,Luxor Rouge',Beauty and Hygiene (1911-1956),"Famous People', 'Testimonial', 'Rouge', 'Ara Gerald'",Theater,magazines (periodicals),advertisements',https://idn.duke.edu/ark:/87924/r46d5pz56
The luck of the Irish--twice!,1930,The luck of the Irish--twice!,Procter & Gamble Co.,Ivory Soap',Beauty and Hygiene (1911-1956),"Children', 'Soaps'",American Journal of Nursing,magazines (periodicals),"advertisements', 'drawings (visual works)'",https://idn.duke.edu/ark:/87924/r4k931s85
Thirty years of craftsmanship -- a background that counts,1930,Thirty years of craftsmanship -- a background that counts,Hygrade Lamp Co.,Radio tubes',Radio (1922-1956),"Radio', 'Tubes'",Saturday Evening Post,magazines (periodicals),advertisements',https://idn.duke.edu/ark:/87924/r4319sk4t
"This Soap, This Cream, This Powder Preserve that Radiant English Beauty",1930,"This Soap, This Cream, This Powder Preserve that Radiant English Beauty","Yardley & Co., Ltd.",English Lavender Cosmetics',Beauty and Hygiene (1911-1956),Cosmetics',Good Housekeeping,magazines (periodicals),advertisements',https://idn.duke.edu/ark:/87924/r4v980c6s
This daily restores what food and drink dim:,1930,This daily restores what food and drink dim:,Western Company,"""Dr. West's Tooth Paste""",Beauty and Hygiene (1911-1956),"Premiums', 'Illustration', 'Painting', 'Dental Supplies'",Woman's Home Companion,magazines (periodicals),advertisements',https://idn.duke.edu/ark:/87924/r44q7rb6p
"This simple, effective English Beauty Treatment will bring new freshness to your skin",1930,"This simple, effective English Beauty Treatment will bring new freshness to your skin","Yardley & Co., Ltd.",English Lavender',Beauty and Hygiene (1911-1956),"Premiums', 'Cosmetics'",Los Angeles Times,newspapers,advertisements',https://idn.duke.edu/ark:/87924/r4xd0rj77
"Three steps to a Lovely Complexion...A Delicate Soap, A Famous Cream, A Caressing Powder",1930,"Three steps to a Lovely Complexion...A Delicate Soap, A Famous Cream, A Caressing Powder","Yardley & Co., Ltd.",English Lavender Cosmetics',Beauty and Hygiene (1911-1956),Cosmetics',Hearst's International-Cosmopolitan,magazines (periodicals),advertisements',https://idn.duke.edu/ark:/87924/r4qj78k15
Through This Door Lies Paris,1930,Through This Door Lies Paris,Westinghouse Electric & Manufacturing Company,Radio',Radio (1922-1956),"Contests', 'Radio', 'Westinghouse'",Good Housekeeping,magazines (periodicals),"advertisements', 'drawings (visual works)'",https://idn.duke.edu/ark:/87924/r4m61c63s
To Enhance And Maintain A Youthful Complexion,1930,To Enhance And Maintain A Youthful Complexion,"Coty, Inc.",Culturiste Creations',Beauty and Hygiene (1911-1956),Cosmetics',Harper's Bazaar,magazines (periodicals),advertisements',https://idn.duke.edu/ark:/87924/r4t43jp9z
Turn on the radio... but what if it doesn't work?,1930,Turn on the radio... but what if it doesn't work?,Perryman Radio Tubes,Radio tubes',Radio (1922-1956),"Radio', 'Radio Tubes'",Boston Post,newspapers,"advertisements', 'drawings (visual works)'",https://idn.duke.edu/ark:/87924/r4j679d1b
Two clues to Whiter Teeth,1930,Two clues to Whiter Teeth,Western Company,"""Dr. West's Tooth Brush""",Beauty and Hygiene (1911-1956),"Illustration', 'Painting', 'Dental Supplies'",Saturday Evening Post,magazines (periodicals),advertisements',https://idn.duke.edu/ark:/87924/r4m32nx7s
"Two little ""Injuns"" go on the war path against dirty hands",1930,"Two little ""Injuns"" go on the war path against dirty hands",Lever Brothers Company,Lifebuoy Health Soap',Beauty and Hygiene (1911-1956),"Children', 'Soaps'",Parents,magazines (periodicals),"advertisements', 'drawings (visual works)'",https://idn.duke.edu/ark:/87924/r4qb9vs22
"Very, Very Intimate... And Heard At The Ritz",1930,"Very, Very Intimate... And Heard At The Ritz",Norwich Pharmacal Co.,Amolin Deodorant Powder',Beauty and Hygiene (1911-1956),Deodorant',Woman's Home Companion,magazines (periodicals),advertisements',https://idn.duke.edu/ark:/87924/r4nv99z27
"Warning, Do Not Be Misled!!",1930,"Warning, Do Not Be Misled!!","Harvard Tube Testing Stations, Inc.",Radio tubes',Radio (1922-1956),"Radio', 'Radio Tubes'",New York Sun,newspapers,"advertisements', 'drawings (visual works)'",https://idn.duke.edu/ark:/87924/r4ft8f234
"Week-Ends! Vacances! Marie Earle A Cree Pour Vous, Madame, Ce Necessaire Indispensable",1930,"Week-Ends! Vacances! Marie Earle A Cree Pour Vous, Madame, Ce Necessaire Indispensable",Marie Earle,Various',Beauty and Hygiene (1911-1956),"Country of Publication', 'Cosmetics', 'Language', 'French', 'France'",Femina,magazines (periodicals),advertisements',https://idn.duke.edu/ark:/87924/r4t728297
What Good's a Miracle Unless It Works,1930,What Good's a Miracle Unless It Works,Perryman Radio Tubes,Radio tubes',Radio (1922-1956),"Radio', 'Radio Tubes'",Detroit News,newspapers,"advertisements', 'drawings (visual works)'",https://idn.duke.edu/ark:/87924/r4xd0rf0h
What Kind of Radio Would You Like?,1930,What Kind of Radio Would You Like?,Macy's,Radios (Retail Seller)',Radio (1922-1956),"Retail', ""Macy's"", 'Radio', 'Miscellaneous'",New York Times,newspapers,advertisements',https://idn.duke.edu/ark:/87924/r4kh0fg43
What every woman ought to know about safe sanitary protection,1930,What every woman ought to know about safe sanitary protection,Kotex Company,Sanitary napkins',Beauty and Hygiene (1911-1956),"Coupons', 'Feminine Hygiene'",Farmer's Wife,magazines (periodicals),advertisements',https://idn.duke.edu/ark:/87924/r47d2qt4h
Who Wants the Neck?,1930,Who Wants the Neck?,Perryman Radio Tubes,Radio tubes',Radio (1922-1956),"Radio', 'Radio Tubes'",Detroit News,newspapers,advertisements',https://idn.duke.edu/ark:/87924/r4mk65r73
Why not present the home with a Christmas Present?,1930,Why not present the home with a Christmas Present?,CeCo Manufacturing Company,Radio tubes',Radio (1922-1956),"Retail', 'Radio', 'Tubes', 'City Radio Stores'",New York Times,newspapers,advertisements',https://idn.duke.edu/ark:/87924/r4m32ns8g
Your Customers Read The Advertisements,1930,Your Customers Read The Advertisements,"Carter Products, Inc.",Arrid Cream Deodorant',Beauty and Hygiene (1911-1956),Deodorant',Cosmopolitan,magazines (periodicals),advertisements',https://idn.duke.edu/ark:/87924/r4bk17b2r
Your Radio Tubes Tested Free!,1930,Your Radio Tubes Tested Free!,National Union Radio Tubes,Radio tubes',Radio (1922-1956),"Retail', 'Radio', 'Radio City Stores', 'Radio Tubes'",New York Times,newspapers,"advertisements', 'drawings (visual works)'",https://idn.duke.edu/ark:/87924/r4pv6bq16
Your Radio is only as Good as its tubes,1930,Your Radio is only as Good as its tubes,Perryman Radio Tubes,Radio tubes',Radio (1922-1956),"Coupons', 'Retail', 'Radio', 'Radio Tubes', 'Standard Stores'",Boston Herald,newspapers,"advertisements', 'drawings (visual works)'",https://idn.duke.edu/ark:/87924/r4ht2gv36
Your poise and charm are safe with this deodorizing protection,1930,Your poise and charm are safe with this deodorizing protection,Kotex Company,Sanitary napkins',Beauty and Hygiene (1911-1956),Feminine Hygiene',Harper's Bazaar,magazines (periodicals),advertisements',https://idn.duke.edu/ark:/87924/r4gm82821
better or you don't pay CeCo radio tubes,1930,better or you don't pay CeCo radio tubes,CeCo Manufacturing Company,Radio tubes',Radio (1922-1956),"Retail', 'Radio', 'Tubes', 'City Radio Stores'",New York Sun,newspapers,advertisements',https://idn.duke.edu/ark:/87924/r40000g9p
"""I wonder why..I never thought of this before""",1931,"""I wonder why..I never thought of this before""",Sylvania Radio Tubes,Sylvania Emurgentcy Kit (Radio Tubes)',Radio (1922-1956),"Radio', 'Radio Tubes'",Saturday Evening Post,magazines (periodicals),advertisements',https://idn.duke.edu/ark:/87924/r46q1t07v
"""It's a fact...Palmolive is the best clerk I have!""",1931,"""It's a fact...Palmolive is the best clerk I have!""",Colgate-Palmolive-Peet Company,Palmolive Soap',Beauty and Hygiene (1911-1956),Soaps',National Grocers Bulletin,magazines (periodicals),advertisements',https://idn.duke.edu/ark:/87924/r4qj78j5n
"""The Triumph Of Color In Make-Up"" -Elizabeth Arden",1931,"""The Triumph Of Color In Make-Up"" -Elizabeth Arden",Elizabeth Arden,Elizabeth Arden',Beauty and Hygiene (1911-1956),"Illustration', 'Painting', 'Cosmetics'",Vogue,magazines (periodicals),advertisements',https://idn.duke.edu/ark:/87924/r4zk5671m
29 New York Beauty Experts endorse olive and palm oil method to keep that schoolgirl complexion,1931,29 New York Beauty Experts endorse olive and palm oil method to keep that schoolgirl complexion,Palmolive Company,Palmolive Soap',Beauty and Hygiene (1911-1956),"Radio Programs', 'Soaps', 'Palmolive Radio Hour'",Pictorial Review,magazines (periodicals),"advertisements', 'drawings (visual works)'",https://idn.duke.edu/ark:/87924/r4th8c788
A New Gown .. Stunning .. Expensive,1931,A New Gown .. Stunning .. Expensive,"Lambert Laboratories, Inc.",Dew',Beauty and Hygiene (1911-1956),Deodorant',Vogue,magazines (periodicals),advertisements',https://idn.duke.edu/ark:/87924/r4z31p94d
A Small-bubble Shave outlasts all others,1931,A Small-bubble Shave outlasts all others,Colgate & Company,"""Colgate's Rapid-Shave Cream""",Beauty and Hygiene (1911-1956),"Premiums', 'Shaving Supplies'",Saturday Evening Post,magazines (periodicals),advertisements',https://idn.duke.edu/ark:/87924/r4zs2m03b
A chip off the OLD BLOCK,1931,A chip off the OLD BLOCK,Sylvania Radio Tubes,Radio tubes',Radio (1922-1956),"Children', 'Radio', 'Radio Tubes'",Saturday Evening Post,magazines (periodicals),advertisements',https://idn.duke.edu/ark:/87924/r41g0jb3r
A frank discussion,1931,A frank discussion,Palmolive Company,Palmolive Soap',Beauty and Hygiene (1911-1956),"Country of Publication', 'Canada', 'Soaps'",Canadian Home Journal,magazines (periodicals),advertisements',https://idn.duke.edu/ark:/87924/r4kw5852q
At Aeolian Hall: Radically New! The Columaire,1931,At Aeolian Hall: Radically New! The Columaire,Westinghouse Radio,Columaire Radio',Radio (1922-1956),"Retail', 'Radio', 'Westinghouse Radio', 'Aeolian Co.'",New York Times,newspapers,advertisements',https://idn.duke.edu/ark:/87924/r4qj78f4t
At City Radio!,1931,At City Radio!,CeCo Manufacturing Company,Radio tubes',Radio (1922-1956),"Retail', 'Radio', 'Tubes', 'City Radio'",New York News,newspapers,advertisements',https://idn.duke.edu/ark:/87924/r4kp7v768
Bare Your Face To Sun And Wind,1931,Bare Your Face To Sun And Wind,Denney & Denney,Herbal Preparations',Beauty and Hygiene (1911-1956),Cosmetics',Town & Country,magazines (periodicals),advertisements',https://idn.duke.edu/ark:/87924/r4mp4w82c
Beauty that welcomes the brilliant light of evening,1931,Beauty that welcomes the brilliant light of evening,"Yardley & Co., Ltd.",English Lavender Cosmetics',Beauty and Hygiene (1911-1956),Cosmetics',House and Garden,magazines (periodicals),advertisements',https://idn.duke.edu/ark:/87924/r45m62v1m
"Beware of pads ""just like Kotex""",1931,"Beware of pads ""just like Kotex""",Kotex Company,Sanitary napkins',Beauty and Hygiene (1911-1956),Feminine Hygiene',Cleveland Plain Dealer,newspapers,advertisements',https://idn.duke.edu/ark:/87924/r4hd7pc6m
Champion Power Pentode,1931,Champion Power Pentode,Champion Radio Tubes,Radio tubes',Radio (1922-1956),"Radio', 'Tubes'",Pittsburgh Press,newspapers,advertisements',https://idn.duke.edu/ark:/87924/r4th8c45g
Complexions as fair as an English June,1931,Complexions as fair as an English June,"Yardley & Co., Ltd.",English Lavender Cosmetics',Beauty and Hygiene (1911-1956),Cosmetics',Vogue,magazines (periodicals),advertisements',https://idn.duke.edu/ark:/87924/r4x34nd1q
